County,Year,IncidentCount,Latitude,Longitude
Butte,2018,23625,39.764557,-121.602082
Butte,2019,11,39.456144,-121.414237
Butte,2020,3127,39.620678,-121.382187
Butte,2021,16,40.05899,-121.487134
Butte,2022,5,39.482763,-121.368214
Butte,2024,1689,39.82561,-121.691303
Calaveras,2015,963,38.259331,-120.56561
Calaveras,2018,3,37.981501,-120.742205
Calaveras,2023,28,38.010172,-120.693751
Calaveras,2024,96,37.995737,-120.644952
Colusa,2024,52,39.23404,-122.441925
Contra Costa,2018,2,37.863881,-121.728897
El Dorado,2018,12,38.798187,-120.907549
El Dorado,2019,3,38.823989,-120.868503
El Dorado,2020,4,38.64491,-120.958037
El Dorado,2021,4359,38.754312,-120.254182
El Dorado,2022,212,38.970777,-120.735606
El Dorado,2024,49,38.721939,-120.763386
Fresno,2016,10,37.013663,-119.476374
Fresno,2018,2,37.06859,-119.508827
Fresno,2020,2774,37.122954,-119.315954
Fresno,2021,1,36.861046,-119.337285
Fresno,2022,12,36.676334,-119.179216
Fresno,2023,3,36.68614,-119.144505
Fresno,2024,115,36.378259,-120.165012
Glenn,2020,52,39.613441,-122.588427
Humboldt,2017,5,40.033496,-123.666366
Humboldt,2020,1,40.059941,-123.77458
Humboldt,2024,13,40.789573,-123.675069
Inyo,2015,2,37.457127,-118.588574
Inyo,2024,18,36.462342,-118.084143
Kern,2016,409,35.626705,-118.375582
Kern,2017,10,35.71369,-118.479539
Kern,2020,156,35.44837,-118.495234
Kern,2021,372,35.713819,-118.530606
Kern,2024,529,35.468313,-118.515033
Kings,2017,1,35.919678,-120.253452
Lake,2015,2142,38.804934,-122.65033
Lake,2016,327,38.913483,-122.59741
Lake,2017,175,38.983042,-122.690072
Lake,2018,338,39.167282,-122.852296
Lake,2019,2,38.723699,-122.6959
Lake,2020,63,38.867872,-122.583016
Lake,2021,93,38.923912,-122.604762
Lassen,2018,6,40.330839,-120.484406
Lassen,2020,233,40.372368,-120.532089
Lassen,2021,725,40.138372,-120.309676
Los Angeles,2017,293,34.23258,-118.397571
Los Angeles,2018,1712,34.066126,-118.817124
Los Angeles,2019,239,34.30919,-118.487736
Los Angeles,2020,267,34.450808,-117.999827
Los Angeles,2024,1259,34.179203,-118.320329
Madera,2017,18,37.318718,-119.537112
Madera,2020,478,37.300907,-119.396015
Madera,2021,83,37.332871,-119.815169
Madera,2022,134,37.220605,-119.494665
Madera,2023,10,37.198382,-119.45355
Madera,2024,17,37.200252,-119.69861
Mariposa,2017,164,37.516916,-120.062162
Mariposa,2018,7,37.712285,-120.108971
Mariposa,2021,28,37.351758,-119.866992
Mariposa,2022,651,37.519474,-119.888263
Mariposa,2024,289,37.518781,-120.014457
Mendocino,2014,11,39.25898,-123.142155
Mendocino,2017,580,39.3097,-123.215584
Mendocino,2018,12,39.146114,-123.056407
Mendocino,2020,243,39.644031,-123.205415
Mendocino,2021,91,39.234832,-123.196526
Mono,2015,57,37.509343,-118.638068
Mono,2016,7,37.75012,-118.922558
Monterey,2015,19,36.389832,-121.589612
Monterey,2016,73,36.391909,-121.845241
Monterey,2020,590,36.495185,-121.630849
Monterey,2022,15,36.384801,-121.891368
Monterey,2023,2,36.125173,-121.358594
Napa,2015,2,38.700153,-122.456068
Napa,2017,1688,38.389017,-122.308913
Napa,2018,27,38.529044,-122.15926
Napa,2020,4562,38.539617,-122.398387
Nevada,2017,67,39.23509,-121.135315
Nevada,2020,35,39.272565,-121.10526
Nevada,2021,230,39.129648,-120.978169
Nevada,2022,12,39.295706,-121.178451
Orange,2017,80,33.826065,-117.747148
Orange,2018,13,33.680754,-117.509649
Orange,2020,2123,33.73246,-117.693918
Orange,2022,149,33.524665,-117.735289
Orange,2024,145,33.660769,-117.46899
Placer,2018,2,38.88225,-121.282096
Placer,2021,147,39.108726,-120.971591
Placer,2022,457,39.028895,-120.788325
Plumas,2020,95,39.840638,-120.963179
Plumas,2021,3490,40.135229,-120.957578
Riverside,2013,58,33.864475,-116.842388
Riverside,2017,7,33.866112,-117.639677
Riverside,2018,47,33.710695,-117.173418
Riverside,2019,205,33.985018,-117.236028
Riverside,2020,101,33.997346,-116.911889
Riverside,2021,4,33.584562,-116.445601
Riverside,2022,366,33.682677,-116.911257
Riverside,2023,85,33.46493,-116.820347
Riverside,2024,353,33.594462,-117.200755
Sacramento,2020,1,38.552248,-121.17608
Sacramento,2022,9,38.438287,-121.145437
San Benito,2020,5,36.707352,-121.085751
San Benito,2022,27,36.893657,-121.596199
San Benito,2023,10,36.891018,-121.640592
San Bernardino,2019,10,34.006639,-117.094018
San Bernardino,2020,117,33.967509,-117.507218
San Bernardino,2024,795,34.25744,-117.42168
San Diego,2014,49,33.101323,-117.137169
San Diego,2017,221,33.30376,-117.18711
San Diego,2018,64,32.829445,-116.744753
San Diego,2020,446,32.756776,-116.727757
San Diego,2021,3,32.997107,-116.471135
San Diego,2022,140,32.610584,-116.670095
San Diego,2023,5,32.637327,-116.638128
San Diego,2024,5,32.720816,-116.418685
San Joaquin,2020,77,37.545578,-121.517766
San Joaquin,2024,27,38.149014,-121.130201
San Luis Obispo,2016,78,35.732449,-121.018204
San Luis Obispo,2017,10,35.413882,-120.480152
San Luis Obispo,2018,1,35.58805,-120.636816
San Luis Obispo,2019,1,35.745515,-120.682852
San Luis Obispo,2020,13,35.328109,-120.194178
San Mateo,2020,207,37.204627,-122.302857
Santa Barbara,2017,152,34.533805,-119.758969
Santa Barbara,2018,27,34.461749,-119.83008
Santa Barbara,2021,183,34.488757,-120.080353
Santa Clara,2016,29,37.112314,-121.820993
Santa Clara,2019,2,37.365189,-121.630234
Santa Clara,2020,558,37.363958,-121.545513
Santa Cruz,2017,24,37.183799,-122.071219
Santa Cruz,2020,4613,37.11916,-122.159008
Shasta,2013,222,40.466662,-122.522301
Shasta,2017,32,40.477247,-122.438791
Shasta,2018,1951,40.616265,-122.473894
Shasta,2019,57,40.693863,-122.270276
Shasta,2020,576,40.487126,-122.604474
Shasta,2021,831,40.70703,-122.311061
Shasta,2022,70,40.452193,-122.33022
Shasta,2023,28,40.672294,-122.459543
Shasta,2024,14,40.537004,-122.430251
Siskiyou,2014,250,41.433101,-122.379815
Siskiyou,2016,11,41.766925,-122.625919
Siskiyou,2017,1,41.36265,-122.831908
Siskiyou,2018,95,41.91406,-122.56679
Siskiyou,2019,1,41.669654,-122.54402
Siskiyou,2020,451,41.83493,-123.384929
Siskiyou,2021,288,41.581927,-122.123787
Siskiyou,2022,675,41.67016,-122.628723
Siskiyou,2023,29,41.778067,-123.027814
Siskiyou,2024,9,41.765186,-122.450743
Solano,2017,67,38.33202,-122.112233
Solano,2020,2310,38.414529,-122.026879
Sonoma,2015,7,38.77698,-122.753274
Sonoma,2017,7224,38.476696,-122.685039
Sonoma,2019,1566,38.631101,-122.791534
Sonoma,2020,2863,38.509629,-122.727306
Sonoma,2021,1,38.741453,-122.989465
Sonoma,2024,60,38.689366,-122.967955
Stanislaus,2020,203,37.356094,-121.350106
Stanislaus,2023,21,37.786665,-120.754766
Tehama,2018,30,40.174479,-122.262641
Tehama,2019,2,40.17313,-122.676225
Tehama,2020,40,40.165226,-122.752255
Tehama,2021,265,40.285541,-122.132564
Tehama,2022,51,40.00672,-122.421462
Tehama,2023,2,40.011293,-122.446408
Tehama,2024,729,40.265426,-121.798037
Trinity,2017,139,40.764056,-123.085676
Trinity,2018,10,40.718228,-122.736567
Trinity,2020,133,40.096836,-123.417311
Trinity,2021,290,40.71087,-123.145045
Tulare,2020,803,36.172127,-118.624488
Tulare,2021,215,35.909306,-118.577975
Tulare,2024,2,36.416474,-118.788793
Tuolumne,2018,1,38.125003,-120.241693
Tuolumne,2021,19,37.966834,-120.396432
Tuolumne,2022,7,37.852527,-120.483604
Tuolumne,2023,6,37.912075,-120.439251
Tuolumne,2024,9,37.910344,-120.243472
Ventura,2017,1275,34.349942,-119.211437
Ventura,2018,301,34.147791,-118.829465
Ventura,2019,4,34.318283,-119.074198
Ventura,2024,1843,34.270901,-119.040305
Yolo,2018,113,38.748097,-122.177174
Yolo,2019,4,38.899543,-122.249218
Yolo,2020,161,38.666479,-122.131667
Yuba,2017,282,39.322179,-121.390261
Yuba,2020,25,39.375032,-121.327677
Yuba,2021,2,39.08677,-121.323753
Yuba,2022,15,39.317705,-121.275309
