Station Number,Address,Community,County,City,Latitude,Longitude
1,2230 Pasadena Avenue,Lincoln Heights,Los Angeles County,Los Angeles,34.07528,-118.21833
2,1962 East Cesar Chavez Avenue,Boyle Heights,Los Angeles County,Los Angeles,34.0457,-118.2166
3,108 North Fremont Avenue,Civic Center / Bunker Hill,Los Angeles County,Los Angeles,34.059,-118.2468
4,450 East Temple Street,Little Tokyo / Olvera Street / Chinatown,Los Angeles County,Los Angeles,34.0533,-118.2395
5,8900 South Emerson Avenue,Westchester / LAX Area,Los Angeles County,Los Angeles,33.9567,-118.3986
6,326 North Virgil Avenue,Angeleno Heights,Los Angeles County,Los Angeles,34.0779,-118.2877
7,14630 Plummer Street,Panorama City,Los Angeles County,Los Angeles,34.25,-118.448
8,11351 Tampa Avenue,Porter Ranch,Los Angeles County,Los Angeles,34.277,-118.553
9,430 East 7th Street,Central City,Los Angeles County,Los Angeles,34.0407,-118.2488
10,1335 South Olive Street,Convention Center District,Los Angeles County,Los Angeles,34.0389,-118.2648
